DESCRICAO_CC,QTD_NOTAS,VALOR_TOTAL
MAQUINAS NOVAS                          ,270,131948239.39999999
NULL,87463,93701891.59999944
MAQUINAS WIRTGEN                        ,98,92144799.58000001
MAQUINAS ESTRATEGICO                    ,133,85692745.94000007
PECAS CSN                               ,26737,56239742.489999816
MAQUINAS NOVAS - ES                     ,61,34795136.730000004
MAQUINAS NOVAS - UDI                    ,52,31671000.0
EQUIPAMENTOS NOVOS  - CT                ,74,28069695.4
EQUIPAMENTOS NOVOS - GV                 ,109,24552752.72
EQUIPAMENTOS NOVOS - CT                 ,51,23446688.9
EQUIPAMENTOS NOVOS - AV                 ,100,19205270.130000003
PECAS SERVICOS                          ,13714,17878542.529999983
EQUIPAMENTOS NOVOS - PP                 ,54,17568651.32
PECAS WIRTGEN                           ,5118,16029645.309999948
MAQUINAS NOVAS - RJ                     ,37,15137875.14
EQUIPAMENTOS NOVOS - MC                 ,42,14504827.3
MAQUINAS NOVAS - CTG                    ,15,13714106.82
MECANICA/ELETRICA                       ,5467,11754823.85999991
MAQUINAS NOVAS - PA                     ,28,11470800.0
PECAS CRC                               ,6462,10977752.460000034
MAQUINAS USADAS                         ,56,10838045.780000001
MAQUINAS WIRTGEN - RJ                   ,14,10638141.56
EQUIPAMENTOS NOVOS  - MC                ,19,9266410.16
IMPLEMENTOS NOVOS - GV                  ,244,8178506.94
PECAS E PRODUTOS - PP                   ,12934,7662837.190000003
EQUIPAMENTOS NOVOS - TG                 ,31,7472042.210000001
IMPLEMENTOS NOVOS - CT                  ,135,6794174.970000001
MAQUINAS WIRTGEN - PA                   ,5,4652267.6
MAQUINAS ESTRATEGICO - RJ               ,5,4504000.0
PECAS CONTRATOS                         ,10490,4137937.309999916
SERVICOS CONTRATOS                      ,1387,3715381.859999942
PEÇAS - TERRABEL                        ,3004,3521784.0100000105
MECANICA/ELETRICA WIRTGEN               ,801,3418277.4299999755
IMPLEMENTOS NOVOS - MC                  ,69,3137618.0
LOCACAO                                 ,96,3030386.81
SERVICOS CRC                            ,185,2959932.7199999997
PECAS E PRODUTOS - CT                   ,4387,2938128.739999995
IMPLEMENTOS NOVOS - AV                  ,65,2565113.5799999996
MECANICA/ELETRICA CSN                   ,99,2550172.4799999995
